sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
test-s1492,"Pośród traktatów, pośród rozpraw świątobliwych ojców, wpadła mu w ręce książka, która zainteresowała go bardziej niż inne.",Pośród traktatów,pośród rozpraw świątobliwych ojców,R,1,
train-s12470,"- Tu mi dobrze, tu są moi przyjaciele - mówi Syoum.",Tu mi dobrze,tu są moi przyjaciele,R,1,
train-s10882,"W poniedziałek o godz. 18.00 w Czeskim Centrum w Warszawie w związku ze wznowieniem przez ""Świat Literacki"" powieści Tresnaka ""To, co najistotniejsze o panu Moritzu"" oraz wydaniem ""Wierszy wybranych"" Miroslava Holuba odbędzie się spotkanie z udziałem autorów.","wznowieniem przez ""Świat Literacki"" powieści Tresnaka ""To, co najistotniejsze o panu Moritzu""","wydaniem ""Wierszy wybranych"" Miroslava Holuba",R,1,
test-s140,"Mężczyzna i duży pies siedzą na ławce obok chodnika, po którym spacerują dalej ludzie.",Mężczyzna,duży pies,R,1,
train-s82,Dwie gondole i tramwaj wodny płyną po wodzie w mieście.,gondole,tramwaj wodny,R,0,
test-640,Ministerstwo Środowiska i samorząd wojewódzki zdecydowały o udziale Makowa i Pułtuska.,Ministerstwo Środowiska,samorząd wojewódzki,R,1,
train-s7015,Mimo wprowadzenia stanu wojennego i militaryzacji kopalń czterobrygadówka nie powraca.,wprowadzenia stanu wojennego,militaryzacji kopalń,R,1,
train-s475,"Chłopiec w czerwonej bluzce gra na małej, czerwonej gitarze.",małej,czerwonej,R,1,
dev-s1493,"Jeszcze większe wrażenie na współczesnych sprawiał Tomasz z Akwinu, dyktując dwa albo trzy traktaty filozoficzne.",dwa,trzy,R,1,
train-s10965,"Za punktualność, komfort podróżowania, czy czystość przystanków będzie dbał MZKZG.",punktualność,czystość przystanków,R,1,
train-s9477,"Do normalnych następstw należą niewielki obrzęk i zasinienie małżowiny usznej, które ustępują w ciągu 5-10 dni.",5,10,R,1,
train-s11891,"Po prezentacji wszystkich reportaży, 27 stycznia, wydrukujemy jeszcze raz ich listę oraz kupon, za pomocą którego będą Państwo mogli zagłosować na dowolny reportaż.",prezentacji wszystkich reportaży,27 stycznia,R,0,
train-s620,Kobieta i mężczyzna idą wąskimi schodkami między roślinami.,Kobieta,mężczyzna,R,1,
test-s1744,"Na Instagramie chciałem być popularny tak bardzo, że wstyd to przyznać, lecz przyznam – pewnego razu kupiłem sobie 500 followersów.",wstyd to przyznać,przyznam,R,0,
dev-s1636,"– Studenci aplikują na prawdziwe stanowiska, a najlepsi po przejściu całego procesu rekrutacji, wygrywają praktyki w renomowanych firmach – mówi Konrad Malicki z SKNZZL.",Studenci aplikują na prawdziwe stanowiska,"najlepsi po przejściu całego procesu rekrutacji, wygrywają praktyki w renomowanych firmach",R,1,
train-9490,Ręce i nogi dalej nie dały się uruchomić.,Ręce,nogi,R,1,
train-s13917,"Taki proces kategoryzacji, na swoich i obcych, zautomatyzował się przez tysiące lat i jest bardzo silnym, pierwotnym mechanizmem.",silnym,pierwotnym,R,0,
train-s554,"Chłopiec i trzy dziewczyny, wszyscy ubrani w niebiesko-granatowe stroje, idą drogą w pobliżu drzew palmowych.",niebiesko,granatowe,R,1,
test-s60,Duży biało-brązowy pies podskakuje naprzeciwko mniejszego psa o długich uszach.,biało,brązowy,R,1,
test-1672,Zdrowie i męska siła przestały budzić we mnie odruchowy strach.,Zdrowie,męska siła,R,1,
train-s13825,"Jakiś miesiąc przed przeglądem, kiedy wszyscy bywalcy i żurnaliści egzaltowali się przyjazdem francuskiej piosenkarki, Patricii Kaas, powiedział mi: - Nie zdziwię się, gdy nikomu u nas nie znana Mariza, przebije wielką Patricię.",bywalcy,żurnaliści,R,1,
train-11917,Weronka i Janek Bajurski siedzą.,Weronka,Janek Bajurski,R,1,
train-s10529,"Polscy i czechosłowaccy antystalinowcy winni szukać porozumienia tylko w najszerszej, lecz i zasadniczej płaszczyźnie.",Polscy,czechosłowaccy,R,1,
train-s5467,"Dzieci zdrowe nauczą się tolerancji i zdobędą nowe doświadczenia, a sprawne inaczej poczują się potrzebne - mówi Helena Rogucka, dyrektor SP nr 35 w Białymstoku.",nauczą się tolerancji,zdobędą nowe doświadczenia,R,1,
train-s6974,9 mln emerytów i rencistów czeka na marcową waloryzację świadczeń.,emerytów,rencistów,R,1,
train-s12511,"Czai się we mnie zakorzenione gdzieś głęboko przeświadczenie, iż świat, zapraszając mnie do siebie na nie dłużej niż sto obrotów Ziemi wokół Słońca, a potem wypraszając mnie bezceremonialnie za drzwi, postępuje nie fair.",zapraszając mnie do siebie na nie dłużej niż sto obrotów Ziemi wokół Słońca,potem wypraszając mnie bezceremonialnie za drzwi,R,0,zły gov
train-s16141,Poziom obrotów bieżących i międzynarodowa pozycja inwestycyjna są łącznie stosowane do oceny stabilności kursu wymiany walut.,Poziom obrotów bieżących,międzynarodowa pozycja inwestycyjna,R,1,
train-s12333,"- No tak, on jest ""święty"" - powiedział wtedy Kroński, kiedy starałem się nakreślić im portret pana Tadeusza w tych barwach, w jakich go widziałem i podziwiałem, z całym jego ofiarnym zaangażowaniem w robotę podziemną, a jednocześnie niezwykłą skromnością, stałym, usuwaniem w cień własnej osoby.",tak,"on jest ""święty""",R,0,
train-7738,Pierwsze i jedyne auto zatrzymało się przy nich dopiero po kilku kwadransach!,Pierwsze,jedyne,R,1,
train-s14390,"- Prawdopodobnie będzie chciał ukryć się na poligonie w Drawsku? Ale być może uda się do swojej rodziny w Szczecinie? Albo będzie chciał uciec za granicę, ale to przecież niemożliwe - dywagowali policjanci.",Prawdopodobnie będzie chciał ukryć się na poligonie w Drawsku?,być może uda się do swojej rodziny w Szczecinie?,R,0,
train-s11583,"– Nie wariatka, pani Zosiu, tylko chore, znerwicowane dziecko – zaprotestowała Becowa.","wariatka, pani Zosiu,","chore, znerwicowane dziecko",R,0,
train-11591,"W piątek, sobotę i niedzielę będziemy wspólnie świętować 1000-lecie Biskupstwa Wrocławskiego i 1000-lecie Wrocławia.",piątek,niedzielę,R,0,
train-s4638,Grzywacze lęgną się 2-3 razy w roku.,2,3,R,1,
test-s2132,"- Nie, nie - naprawdę, używam teraz cyfrówek.",Nie,nie,R,1,
test-s817,"Demonstranci mieli flagi Liberalno-Demokratycznej Partii Rosji, organizacji politycznej znanego nacjonalisty Żyrinowskiego.",Liberalno,Demokratycznej,R,1,
train-s4856,"- Akcje, które posiadają BCP i Eureko, należały do podmiotów zależnych od BIG i znajdowały się w gestii zarządu - powiedział ŻYCIU Jedamski.",należały do podmiotów zależnych od BIG,znajdowały się w gestii zarządu,R,1,
train-13224,"Zawsze i wszędzie jestem bezpieczny, w dzień i w nocy, w domu i poza domem, na ulicy i w samochodzie.",Zawsze,wszędzie,R,1,
train-s11838,"I było coś jeszcze dziwniejszego od kurtki, naciągniętej na pochyłe ramiona straszydła niczym cudza, źle dopasowana skóra.",cudza,źle dopasowana,R,1,
train-s12030,"Kanon objawia się także poprzez pisarską świadomość, która sprawia, że w danym okresie jedni twórcy zyskują status klasyków, inni zaś - stają się przeciwnikami, których poetykę, styl, a czasem manierę młodsze pokolenie stara się przezwyciężyć.",poetykę,czasem manierę,R,1,
dev-s26,Uśmiechnięta kobieta i dziecko zjeżdżają na sankach z góry w towarzystwie biało-czarnego psa.,kobieta,dziecko,R,1,
train-s137,Kobieta i mężczyzna w czarnej kurtce całują się.,Kobieta,mężczyzna w czarnej kurtce,R,1,
train-4303,Krępa i kanciasta sylwetka zdaje się ją rozsadzać.,Krępa,kanciasta,R,1,
train-s4811,"- Zresztą niemal we wszystkich punktach, tam gdzie potrzebna jest pomoc, kierowane są samochody i niezbędne siły z sześćdziesięcioosobowego, tu pracującego zespołu strażaków z Mirca, Pawłowa, Ostrożanki, Brodów, Wąchocka, Brzezia, Ambrożowa - dodaje.",sześćdziesięcioosobowego,tu pracującego,R,1,
train-s8883,"Przez kilkadziesiąt lat badacze musieli pogodzić się z tym ograniczeniem, choć jego świadomość była coraz bardziej dokuczliwa, bo zarówno biolodzy i lekarze, jak ludzie zajmujący się budową materii nieożywionej wiedzieli, że wciąż istnieją niedostrzegalne szczegóły, ważne dla nauki i praktyki.",biolodzy,lekarze,R,1,
train-1340,"Chłodna i metodyczna, troszczysz się bardzo o wypełnianie swych obowiązków.",Chłodna,metodyczna,R,1,
n01005024,"— Mamy do czynienia z dużą konkurencją i uważamy, że transport może pomóc — powiedział szef Georgetown BID Joe Sternlieb.",Mamy do czynienia z dużą konkurencją,"uważamy, że transport może pomóc",R,1,
dev-s2116,Jordan i ja chcieliśmy zobaczyć jak się czujesz,Jordan,ja,R,1,
train-s14087,"""Władcy świeccy słuchają głosu zwierzchników kościelnych i chętnie spełniają ich rozkazy, gdy idzie o obronę wiary"" - chełpią się historycy kościelni.",słuchają głosu zwierzchników kościelnych,"chętnie spełniają ich rozkazy, gdy idzie o obronę wiary",R,1,
train-s14201,"Deweloper Jose Moreno zaadresował ją do ludzi w wieku 18-35 lat, oferując mieszkania na przedmieściach Madrytu za 120 tys. euro, płatnych przez 20 lat w ratach do 600 euro miesięcznie.",18,35,R,1,
train-s8110,"(A) Ten rok był dobry dla mnie, ale niedobry dla Polski - ocenia statystyczny Polak.",dobry dla mnie,niedobry dla Polski,R,1,
train-s13030,"Zaś ""wymogi programowe nie są wypełniane, wymogi misyjne nie są wypełniane"" - zarzucał Witold Graboś.","""wymogi programowe nie są wypełniane",wymogi misyjne nie są wypełniane,R,0,
train-s9297,"Jak się można było spodziewać, na mocno elastycznym torze nie brakowało niespodzianek, szczególnie na trzecich - czwartych miejscach.",trzecich,czwartych,R,1,
train-s11076,"Przykrywamy go, a po godzinie okrytego przenosimy na inne, także wygrzane łóżko, gdzie nadal będzie się pocił.",inne,także wygrzane,R,1,
train-s16645,Demokracja i wolność stanowią dwie z podstawowych wartości Unii Europejskiej.,Demokracja,wolność,R,1,
train-s4589,"- Posrasz się, a nie poniesiesz - warknęła.",Posrasz się,nie poniesiesz,R,1,
train-s5876,Piast i Rzepicha podejmowali swoich gości z okazji postrzyżyn syna Ziemowita oraz Bolesław Chrobry wydawał wielką ucztę na cześć cesarza Ottona III.,Piast,Rzepicha,R,1,
train-s9350,"- Według relacji księdza, w trakcie udzielania sakramentu komunii w pewnym momencie na stopień wstąpiła kobieta i uderzyła go w twarz - informuje komisarz Danuta Wołk-Karczewska, rzecznik gdyńskiej policji.",w trakcie udzielania sakramentu komunii w pewnym momencie na stopień wstąpiła kobieta,uderzyła go w twarz,R,0,
train-s3946,"Niedługo po tym apelu Kamiński, Wołek i Jurek spotkali się na podwieczorku u krzywdzonego Pinocheta.",Kamiński,Jurek,R,1,
train-s16979,"Salmonella i Campylobacter, dwie najbardziej toksyczne bakterie, są obecne w tuszach trzech czwartych kurczaków hodowanych w gospodarstwach europejskich.",Salmonella,Campylobacter,R,1,
train-s16463,Urzędnik mianowany przez Sekretariat Generalny Rady Unii Europejskiej oraz urzędnik mianowany przez państwo CARIFORUM pełnią przemiennie przez okres 12 miesięcy funkcję sekretarza Wspólnej Rady.,Urzędnik mianowany przez Sekretariat Generalny Rady Unii Europejskiej,urzędnik mianowany przez państwo CARIFORUM,R,1,
train-s11432,"I żeby sobie utrudnić to dziwaczne przedsięwzięcie, ten okropny zamiar starego recydywisty, więc żeby skomplikować pisanie tej niepotrzebnej nikomu książki, niepotrzebnej ani mnie, ani mojej biednej rodzinie, ani znękanym rodakom, więc żeby ukarać siebie za te niedobre ciągoty, postanawiam napisać książkę dla normalnego państwowego wydawnictwa, książkę, co ją sam starannie i fachowo ocenzuruję.","żeby sobie utrudnić to dziwaczne przedsięwzięcie, ten okropny zamiar starego recydywisty",więc żeby ukarać siebie za te niedobre ciągoty,R,1,
train-s4507,"Niby krzywdy nie robił, bo nie gryzł nigdy, ale wrzasku i wymyślań bywało zawsze co niemiara.",wrzasku,wymyślań,R,1,
train-s7313,"Informacje i dokumenty, którymi dysponujemy, wskazują jednak, że poseł kłamie.",Informacje,"dokumenty, którymi dysponujemy,",R,1,
train-s2722,Wieczór i następny dzień minęły nadzwyczaj szybko.,Wieczór,następny dzień,R,1,
train-s11055,"- Szczegóły są nieważne - oświadczył, gdy weszła na taras w granatowo-białym pasiastym szlafroczku.",granatowo,białym,R,1,
train-s14517,- Sztab Generalny jest i będzie czysty - dementował adiutant gen. Bieleckiego.,jest,będzie,R,1,
train-s14174,"Także moje pytania dotyczą przedstawionego problemu i tego, aby wszyscy Polacy, mając swoich reprezentantów, mając to lobby - nie wiem, czy to jest odpowiednie słowo - wywarli presję, by niemieccy eurodeputowani nie blokowali na każdym szczeblu dyskusji na ten temat, bo jest to bardzo poważny problem.",mając swoich reprezentantów,"mając to lobby - nie wiem, czy to jest odpowiednie słowo -",R,1,
train-s10751,"Jeżeli pani jest nerwowa lub przemęczona, powinna jak najczęściej brać letnią kąpiel w dobrze ogrzanym pokoju, po której należy się zdrzemnąć lub wypocząć przez pół godziny.",nerwowa,przemęczona,R,0,
test-s340,Boguś mieszka tu i pracuje.,mieszka tu,pracuje,0,0,
train-3798,"- Jeszcze będziecie mieli rozrywkę, zobaczycie.",mieli rozrywkę,zobaczycie,0,0,
train-3794,"- Jesteśmy tu od trzech dni, a ty zadałeś to pytanie co najmniej trzydzieści razy.",tu od trzech dni,ty zadałeś to pytanie co najmniej trzydzieści razy,0,0,
train-s5495,"Może chciała wejść po niedawno zbudowanych drewnianych schodkach, stanąć za innymi, poszukać wzrokiem Ylvy; zamiast tego stała na dole, słuchając śpiewów i śmiechów dochodzących z góry, patrzyła, jak pióropusz ognia bucha w nocne niebo i odbija się w Järlasjön.","chciała wejść po niedawno zbudowanych drewnianych schodkach, stanąć za innymi, poszukać wzrokiem Ylvy","zamiast tego stała na dole, słuchając śpiewów i śmiechów dochodzących z góry, patrzyła, jak pióropusz ognia bucha w nocne niebo i odbija się w Järlasjön",0,0,
train-s16051,"Kochał Anglię, ale mieszkał we Francji.",Kochał Anglię,mieszkał we Francji,0,1,
train-2210,"Do sali zjechaliśmy godnie, windę znarowioną już naprawili.",zjechaliśmy godnie,windę znarowioną już naprawili,0,0,
train-3443,"jak skorzystać z usług akwizytora, a jednocześnie nie paść ofiarą przestępstwa?",jak skorzystać z usług akwizytora,jednocześnie nie paść ofiarą przestępstwa,0,1,
test-s760,"Do gabinetu restauracyjnego wpadło kilkanaście osób - spieszyło im się bardzo, żądali natychmiastowej obsługi.",wpadło kilkanaście osób,"spieszyło im się bardzo, żądali natychmiastowej obsługi",0,0,
test-176,"Ciemno było, sam Tomczak nic nie mówi.",Ciemno było,sam Tomczak nic nie mówi,0,1,
train-3785,"Jesteś szczery, prostolinijny, ale prawdopodobnie swoje własne opinie będziesz zatrzymywać dla siebie.",szczery,prawdopodobnie swoje własne opinie będziesz zatrzymywać dla siebie,0,0,
train-9563,Schyla się matka ciężko i podnosi.,Schyla się matka ciężko,podnosi,0,0,
train-s2748,"Naradzali się długo, a potem poszli do Spartakusa.",Naradzali się długo,potem poszli do Spartakusa,0,1,
test-s1679,"Niemcy rzeczywiście go uwięzili podczas wojny, ale za kradzież świni, którą buchnął sąsiadowi.",uwięzili podczas wojny,"za kradzież świni, którą buchnął sąsiadowi",0,0,
train-8807,"Przeczytał uważnie, przeczytawszy, zaczął od początku.",Przeczytał uważnie,"przeczytawszy, zaczął od początku",0,1,
train-5075,"Może jeszcze się nie bała, ale była już blisko.",Może jeszcze się nie bała,była już blisko,0,1,
dev-971,Pijmy zdrowie i się cieszmy chociaż przez oktawę.,Pijmy zdrowie,się cieszmy chociaż przez oktawę,0,1,
test-s850,"Zaczął podśpiewywać pod nosem, pstrykać palcami, chichotać, jeszcze trochę się napił, aż na koniec powiedział cicho: - Ja tam byłem.","Zaczął podśpiewywać pod nosem, pstrykać palcami, chichotać",aż na koniec powiedział cicho: - Ja tam byłem,0,1,
train-s15842,"Powiedziane zostało już dość i oboje stali w milczeniu, patrząc na pusty horyzont.",Powiedziane zostało już dość,"oboje stali w milczeniu, patrząc na pusty horyzont",0,1,
train-s1464,"Mężczyzna w masce i kasku siedzi na motorze, a drugi mężczyzna stoi obok motoru.",Mężczyzna w masce i kasku siedzi na motorze,drugi mężczyzna stoi obok motoru,0,1,
train-9658,Skończyła makijaż i zaczęła przeglądać ciuchy.,Skończyła makijaż,zaczęła przeglądać ciuchy,0,1,
train-s7810,"Ja jestem pewien - odrzekłem i pomyślałem, że słowa te brzmią jak zaręczyny.",odrzekłem,"pomyślałem, że słowa te brzmią jak zaręczyny",0,0,
train-4423,Kupili jakieś zmiotki w ruskiej hurtowni i zbijają na mnie kasę.,Kupili jakieś zmiotki w ruskiej hurtowni,zbijają na mnie kasę,0,1,
train-s15054,"Dobrze, cieszę się, że mieliśmy szansę...",Dobrze,"cieszę się, że mieliśmy szansę...",0,1,
train-s9640,"Znam ten język więcej niż dobrze, a poza tym spławianie po włosku brzmi wyjątkowo dźwięcznie.",Znam ten język więcej niż dobrze,poza tym spławianie po włosku brzmi wyjątkowo dźwięcznie,0,1,
train-13448,"Zniszczyć, zamrozić i trzymać sto lat, a może przekazać do badań?",Zniszczyć,"trzymać sto lat, a może przekazać do badań",0,0,
train-13220,"Zawsze byłam grzeczną dziewczynką, nigdy nie było ze mną żadnych kłopotów.",Zawsze byłam grzeczną dziewczynką,nigdy nie było ze mną żadnych kłopotów,0,1,
train-s7521,"Muszę być inna, bo przecież dałam sobie wydrzeć już tyle rzeczy, tyle moich godzin, kiedy mogłabym pisać, malować - ja przecież nie próżnuję i dlatego razi mnie, to co on ze mną robi.","Muszę być inna, bo przecież dałam sobie wydrzeć już tyle rzeczy, tyle moich godzin, kiedy mogła bym pisać, malować","ja przecież nie próżnuję i dlatego razi mnie, to co on ze mną robi",0,1,
test-s1623,Syn marnotrawny powrócił i spoczął pod opieką mamusi.,powrócił,spoczął pod opieką mamusi,0,1,
train-6114,"- Nie mam pieniędzy, da mi pani wywiad?",mam pieniędzy,da mi pani wywiad,0,0,
train-9742,"Spojrzała, czarne oczka złośliwie mignęły, znikła.",Spojrzała,znikła,0,1,
n01079065,"Artyści sięgają do ludzkich serc; to jedyna chwila, kiedy możemy zgromadzić się w jednym miejscu i zapomnieć o naszych różnicach.",sięgają do ludzkich serc,"to jedyna chwila, kiedy możemy zgromadzić się w jednym miejscu i zapomnieć o naszych różnicach",0,0,
train-8139,- Pokochać i być prawdziwym przyjacielem.,Pokochać,być prawdziwym przyjacielem,0,1,
train-s5297,Interesanci spojrzeli we wskazanym kierunku i oniemieli z radości.,spojrzeli we wskazanym kierunku,oniemieli z radości,0,1,
train-s17695,Musimy nadać tej debacie większe znaczenie i naprawdę musimy pracować nad wspólnymi poglądami.,Musimy nadać tej debacie większe znaczenie,naprawdę musimy pracować nad wspólnymi poglądami,0,1,
train-s17375,"Nic z tego ani nie przeszkadzało mu zasnąć, ani nie dręczyło we śnie.",nie przeszkadzało mu zasnąć,nie dręczyło we śnie,0,0,
train-s1555,"Kobieta i chłopiec siedzą w metrze, a w szybie widać odbicie innych pasażerów.",siedzą w metrze,w szybie widać odbicie innych pasażerów,0,0,
dev-1473,"W salach pakunkowych stukano młotkami, pan Dąbrowski kłócił się z panią Zosią.",W salach pakunkowych stukano młotkami,pan Dąbrowski kłócił się z panią Zosią,0,1,
dev-s1455,"Aleks jest zawodnikiem bardziej predysponowanym do startów na krótkiej pływalni ze względu na doskonałe nawroty i przeciętny wzrost (jak dotychczas), dlatego bardzo cieszy jego waleczna postawa na tych zawodach.",Aleks jest zawodnikiem bardziej predysponowanym do startów na krótkiej pływalni ze względu na doskonałe nawroty i przeciętny wzrost (jak dotychczas),dlatego bardzo cieszy jego waleczna postawa na tych zawodach,0,1,
test-s1426,"Tadzio nagle usiadł, zgarnął wypłowiałe włosy i wypalił: - Faktycznie powiedz mi, co to się robi na tym świecie?",usiadł,"wypalił: - Faktycznie powiedz mi, co to się robi na tym świecie?",0,1,
train-s9630,"Potem szli na romantyczny spacer, przytulali się i całowali.",szli na romantyczny spacer,całowali,0,1,
train-11816,"Wanna nie nasunęła mi żadnych skojarzeń, była normalną wanną.",nasunęła mi żadnych skojarzeń,była normalną wanną,0,1,
train-s13800,"Produkty na bieżąco sortują się według tych parametrów, jakie wybrał klient – dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb.","Produkty na bieżąco sortują się według tych parametrów, jakie wybrał klient",– dlatego tak ważne jest szczegółowe sprecyzowanie własnych potrzeb,0,0,
train-6558,Niech Ci słońce zawsze świeci I niech czas radośnie leci!,Niech Ci słońce zawsze świeci,niech czas radośnie leci,0,1,
train-10046,"Szeroko otwierał szkarłatne oczy, drgały mu wrażliwe nozdrza.",otwierał szkarłatne oczy,drgały mu wrażliwe nozdrza,0,0,
train-s15301,"W większości przypadków efekt ten był indukowany w ciągu 6–11 dni leczenia, a owulacja była zwykle przyspieszona o 2–3 tygodnie.",efekt ten był indukowany w ciągu 6 – 11 dni leczenia,owulacja była zwykle przyspieszona o 2 – 3 tygodnie,0,1,
train-s5898,"Zwyciężył SLD-UP uzyskując 8 mandatów,a indywidualnie wicemarszałek Marek Borowski - 149233 głosy, bijąc dotychczasowy ""rekord Polski"" Aleksandra Kwaśniewskiego z 1993 r.",Zwyciężył SLD - UP uzyskując 8 mandatów,"indywidualnie wicemarszałek Marek Borowski - 149233 głosy, bijąc dotychczasowy ""rekord Polski"" Aleksandra Kwaśniewskiego z 1993 r",0,1,
n05002004,"Po raz pierwszy w ciągu ostatnich sześciu lat stopa bezrobocia spadła poniżej 20% i jest już 600000 więcej zatrudnionych osób, niż rok temu.",stopa bezrobocia spadła poniżej 20 %,"jest już 600000 więcej zatrudnionych osób, niż rok temu",0,0,
train-2611,"Długo szukał po kieszeniach, lecz wyjął z nich tylko zapałki.",szukał po kieszeniach,wyjął z nich tylko zapałki,0,0,
train-s11798,"Inaczej niż Zieliński jestem nawet zupełnie pewien, że nie można uznać historii myśli ekonomicznej za nikomu niepotrzebną i spalić bibliotekę, ale nie sądzę, by właściwą racją takiego niepalenia miało być odczytywanie w kolejnych podręcznikach ""wielkiego postępu, jaki dokonał się w rozumieniu zjawisk gospodarczych"".","pewien, że nie można uznać historii myśli ekonomicznej za nikomu niepotrzebną i spalić bibliotekę","nie sądzę, by właściwą racją takiego niepalenia miało być odczytywanie w kolejnych podręcznikach ""wielkiego postępu, jaki dokonał się w rozumieniu zjawisk gospodarczych""",0,0,
train-s15491,- absorpcja na micelach skrobi i tworzenie zabarwienia.,absorpcja na micelach skrobi,tworzenie zabarwienia,0,1,
train-s6288,"Nie będą mogli grać Kowalik (musi pauzować jeszcze jeden mecz), Mróz i Gędłek (obligatoryjnie pauzują 2 spotkania), na szczęście do gry wraca zawieszony za kartki Baster.","mogli grać Kowalik (musi pauzować jeszcze jeden mecz), Mróz i Gędłek (obligatoryjnie pauzują 2 spotkania)",na szczęście do gry wraca zawieszony za kartki Baster,0,0,
train-s8315,"Gdy przyjmuję drugi punkt widzenia (punkt widzenia obserwatora), moja osoba wraz z jej wszystkimi problemami zostaje sprowadzona do rozmiarów mikroskopijnego pyłku; jestem, ot, jednym z wyposażonych we władzę sądzenia żyjątek zamieszkałych na jednej z planet kręcących się wokół pewnej przeciętnej gwiazdy ulokowanej na skraju jednej z miliardów galaktyk.",", moja osoba wraz z jej wszystkimi problemami zostaje sprowadzona do rozmiarów mikroskopijnego pyłku","jestem, ot, jednym z wyposażonych we władzę sądzenia żyjątek zamieszkałych na jednej z planet kręcących się wokół pewnej przeciętnej gwiazdy ulokowanej na skraju jednej z miliardów galaktyk",0,1,
train-6721,Nigdy nie było tak wielkie i tak wspaniałe.,Nigdy nie było tak wielkie,tak wspaniałe,0,0,
train-12608,"Wysiadam z niego i nie wiem, gdzie jestem...",Wysiadam z niego,"nie wiem, gdzie jestem",0,1,
w04006065,"Tylko kilka z nich (dzielnic) istniało za czasów Henryka I, a i te były w dużej mierze symboliczne.",Tylko kilka z nich (dzielnic) istniało za czasów Henryka I,i te były w dużej mierze symboliczne,0,1,
train-6365,"- Nie trza, damy se sami radę!",trza,damy se sami radę,0,0,
train-s13326,"Nie pamiętam już gdzie, zdaje się że w jakiejś prasie, ale wyczytałem kiedyś, że wódz był strasznym brudasem i okrutnie cuchnęło mu z ust.",pamiętam już gdzie,"wyczytałem kiedyś, że wódz był strasznym brudasem i okrutnie cuchnęło mu z ust",0,1,
train-s8076,"Przedtem nie wierzyłem w ten wasz klub, ale teraz to po prostu wam zazdroszczę - przecież kiedyś piliście tak samo jak ja"".",Przedtem nie wierzyłem w ten wasz klub,przecież kiedyś piliście tak samo jak ja,0,0,
train-4495,"Leżał żółty, patrzył na nich, nic nie mówił.",Leżał żółty,nic nie mówił,0,1,
dev-1379,"Tygrys był odwrócony i wyglądało, że nie widzi podchodzącego ostrożnie człowieka.",odwrócony,"wyglądało, że nie widzi podchodzącego ostrożnie człowieka",0,0,
train-13654,"Śmierdzę, a ciebie boli.",Śmierdzę,ciebie boli,0,1,
train-2711,"Furtka skrzypi, Dostojewski wystaje z pyska psa.",Furtka skrzypi,Dostojewski wystaje z pyska psa,0,1,
train-1359,Chłopiec posłusznie ukląkł i mełł pacierz obok żarliwie modlącej się i popłakującej matki.,ukląkł,mełł pacierz obok żarliwie modlącej się i popłakującej matki,0,0,
train-11167,Ujął z tkliwością obie figurki i przycisnął je do piersi.,Ujął z tkliwością obie figurki,przycisnął je do piersi,0,1,
train-8110,Pogłaskał ją po dłoni i znowu mimowolnie zastanowił się nad kopertą od Bazarewicza.,Pogłaskał ją po dłoni,znowu mimowolnie zastanowił się nad kopertą od Bazarewicza,0,1,
test-s1816,"W parku wesoło świergotały ptaki, wśród drzew panował przyjemny chłodek.",W parku wesoło świergotały ptaki,wśród drzew panował przyjemny chłodek,0,1,
dev-1547,- Wobec tego gaszę światło i zamykam drzwi.,gaszę światło,zamykam drzwi,0,1,
train-s4594,"Dokonawszy pośpiesznie wieczornej toalety, ułożyłem się w łóżku i zaraz zgasiłem światło.",ułożyłem się w łóżku,zaraz zgasiłem światło,0,1,
train-s12645,"Hasło było o tyle trafne, że nikt nie wiedział, a Balicki i tak wszedł do II tury, bo to był rok 2002 i lewica trzymała się mocno.",Hasło było o tyle trafne,"Balicki i tak wszedł do II tury, bo to był rok 2002 i lewica trzymała się mocno",0,0,
train-7217,"Ognista łapa przejechała po głowie Liścia, ledwie zdołał jej umknąć.",przejechała po głowie Liścia,ledwie zdołał jej umknąć,0,0,
train-s3549,Dochodzi 5-ta i zaległa cisza.,Dochodzi 5-ta,zaległa cisza,0,1,
train-s5006,"Izaura przepuściła Lewickiego w drzwiach i złapała się na tym, że ocenia jego odciskający się pod szlafrokiem tyłek: był proporcjonalny, jak u nastolatka, i wyglądał na jędrny.",przepuściła Lewickiego w drzwiach,"był proporcjonalny, jak u nastolatka, i wyglądał na jędrny",0,0,
train-s9777,"Zatrzasnął drzwi od mieszkania, dwa razy przekręcił klucz, nacisnął klamkę, by sprawdzić, czy dobrze zamknięte, zbiegł po schodach, minął furtkę, także ją zamknął, i znalazł się na wąskiej uliczce między ogródkami, gdzie drzemały w majowym słońcu trójkątne ciemnozielone świerki, jakich nie było w pobliżu jego domu.",Zatrzasnął drzwi od mieszkania,"znalazł się na wąskiej uliczce między ogródkami, gdzie drzemały w majowym słońcu trójkątne ciemnozielone świerki, jakich nie było w pobliżu jego domu",0,1,
train-s672,"W zaśnieżonym lesie mężczyzna stoi na nartach, opierając się na kijkach i patrzy na wyeksponowane na śniegu obrazy, obok których stoi druga osoba.","stoi na nartach, opierając się na kijkach","patrzy na wyeksponowane na śniegu obrazy, obok których stoi druga osoba",0,1,
train-s15372,"Może nawet zdecydujecie czy też nie, że zależy wam na powrocie.",Może nawet zdecydujecie,też nie,0,1,
